coverage,method,metric,n_seeds,median,p5,p95,mean,std
30.0,FinaleMe-style HMM,rmse,20,0.11797580195942414,0.10019207773324,0.18862533564987055,0.1302512128808499,0.0297152401775843
30.0,FinaleMe-style HMM,mae,20,0.10215551498319658,0.08616316116187218,0.1678165729374656,0.11322990632449881,0.028012664820828852
30.0,FinaleMe-style HMM,coverage_90,20,0.3893333333333333,0.19086666666666666,0.5407000000000001,0.3725333333333333,0.12931589681702185
30.0,FinaleMe-style HMM,mean_width,20,0.17024778365157406,0.14805568689709314,0.18633138830947946,0.16757501374788958,0.014897991238657324
30.0,FinaleMe-style HMM,pearson_cpgpoor,20,0.9744211266720367,0.5252312759182532,0.9908072161802258,0.8880533030338318,0.1800747591389511
30.0,HAVI-Methyl simplified,pearson,20,0.9731934340252346,0.9525439850556909,0.9835744589952541,0.9703011688748127,0.010659392541578858
30.0,HAVI-Methyl simplified,rmse,20,0.11824995370349003,0.09877614572288936,0.19147424246801445,0.13033438785986087,0.030692601547865295
30.0,HAVI-Methyl simplified,mae,20,0.1030480063094259,0.08485059281223598,0.1716099614252794,0.11411619462253393,0.029121596954606806
30.0,HAVI-Methyl simplified,coverage_90,20,0.2768055555555556,0.13377777777777777,0.3849027777777778,0.2670416666666667,0.09304537672356232
30.0,HAVI-Methyl simplified,mean_width,20,0.12734986941809923,0.11845639674404154,0.13256715659475465,0.12639984887240588,0.004775574309817557
30.0,HAVI-Methyl simplified,pearson_cpgpoor,20,0.9771344385574359,0.5442615151730098,0.9920875909674429,0.8939405432185801,0.1733156452930081
